state,facility_id,activity
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
