state,facility_id,activity
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
MT,234372,BIKING
MT,234372,CAMPING
MT,234372,HIKING
MT,234372,HUNTING
MT,234372,WINTER SPORTS
MT,234372,WILDLIFE VIEWING
MT,239863,PICNICKING
MT,242583,HIKING
MT,242583,HORSEBACK RIDING
MT,237194,BOATING
MT,237194,FISHING
MT,237194,SWIMMING
MT,10059653,PICNICKING
MT,234331,CAMPING
MT,234331,FISHING
MT,234331,HIKING
MT,234331,HUNTING
MT,234331,WINTER SPORTS
MT,234331,WILDLIFE VIEWING
MT,239314,CAMPING
MT,248153,BOATING
MT,248153,PICNICKING
MT,248153,WATER SPORTS
MT,233778,BIKING
MT,233778,BOATING
MT,233778,CAMPING
MT,233778,FISHING
MT,233778,HIKING
MT,233778,WATER SPORTS
MT,233778,SWIMMING SITE
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
OR,243702,CAMPING
OR,243702,HIKING
OR,243702,HORSEBACK RIDING
OR,243702,HUNTING
OR,251894,BOATING
OR,251894,FISHING
OR,251894,SWIMMING
OR,251894,KAYAKING
OR,251894,CANOEING
OR,251894,WATER SKIING
OR,236934,BIKING
OR,236934,CAMPING
OR,236934,FISHING
OR,236934,HIKING
OR,236934,HORSEBACK RIDING
OR,236934,SWIMMING
OR,10005523,CAMPING
OR,10005523,PICNICKING
OR,10005523,PHOTOGRAPHY
OR,10078676,CAMPING
OR,10078676,HIKING
OR,10078676,HORSEBACK RIDING
OR,10078676,HUNTING
OR,10078676,HORSE CAMPING
OR,234274,BOATING
OR,234274,FISHING
OR,234274,HIKING
OR,234274,HUNTING
OR,234274,MOUNTAIN BIKING
OR,234274,BIRDING
OR,266138,CAMPING
WA,238873,FISHING
WA,238873,HIKING
WA,238873,HORSEBACK RIDING
WA,234632,BIKING
WA,234632,BOATING
WA,234632,CAMPING
WA,234632,FISHING
WA,234632,HIKING
WA,234632,SWIMMING
WA,232864,CAMPING
WA,232864,HIKING
WA,232864,FISH HATCHERY
WA,232864,KAYAKING
WA,232864,BIRDING
WA,232864,WATER ACCESS
WA,234027,CAMPING
WA,234027,FISHING
WA,234027,HIKING
WA,234027,SWIMMING SITE
WA,251362,BIRDING
WA,274185,HIKING
WA,274048,BIKING
WA,274048,HIKING
WA,274048,HORSEBACK RIDING
WA,274048,OFF HIGHWAY VEHICLE
WA,274145,HIKING
WA,274145,WILDLIFE VIEWING
WA,234022,BIKING
WA,234022,CAMPING
WA,234022,FISHING
WA,234022,HIKING
WA,234022,HUNTING
WA,234022,PICNICKING
WA,238873,FISHING
WA,238873,HIKING
WA,238873,HORSEBACK RIDING
WA,234632,BIKING
WA,234632,BOATING
WA,234632,CAMPING
WA,234632,FISHING
WA,234632,HIKING
WA,234632,SWIMMING
WA,232864,CAMPING
WA,232864,HIKING
WA,232864,FISH HATCHERY
WA,232864,KAYAKING
WA,232864,BIRDING
WA,232864,WATER ACCESS
WA,234027,CAMPING
WA,234027,FISHING
WA,234027,HIKING
WA,234027,SWIMMING SITE
WA,251362,BIRDING
WA,274185,HIKING
WA,274048,BIKING
WA,274048,HIKING
WA,274048,HORSEBACK RIDING
WA,274048,OFF HIGHWAY VEHICLE
